keyword;term_freq
pollution;87
carbon emissions;60
fossil fuels;55
renewable energy;49
extreme weather;48
extinction;47
ocean;47
greenhouse gas;46
gas emissions;37
sea level;32
tax;32
farming;26
fire;18
antarctic;17
energy policy;17
forest;17
deforestation;16
methane;16
rainfall;15
emissions trading;13
weather events;13
wildlife;13
biodiversity;11
extreme heat;11
ice sheet;11
trust;11
carbon footprint;10
power plants;8
sustainability;8
carbon budget;7
economic growth;7
temperature rise;7
wind power;7
geoengineering;6
natural gas;6
oxide;6
acidification;5
crop;5
ecosystem;5
energy efficiency;5
energy sector;5
environmental policy;5
environmental protection;5
erosion;5
food security;5
biofuels;4
carbon price;4
coastal communities;4
insect;4
livestock;4
nuclear power;4
permafrost;4
polar bears;4
private sector;4
public health;4
satellite data;4
solar energy;4
sustainable development;4
water quality;4
water scarcity;4
air quality;3
carbon storage;3
coral reefs;3
desertification;3
emission reduction;3
endangered species;3
energy security;3
extreme events;3
ice cover;3
methane emissions;3
ocean temperature;3
population growth;3
potato;3
public opinion;3
sea surface;3
seed;3
woodland;3
coastal ecosystems;2
economic development;2
electricity generation;2
energy consumption;2
energy saving;2
energy supply;2
energy system;2
food crops;2
habitat loss;2
health impacts;2
heat stress;2
heat waves;2
human health;2
land management;2
larvae;2
local level;2
mammals;2
marine environment;2
marine species;2
maximum temperature;2
natural resources;2
nitrous oxide;2
oxygen;2
pollutants;2
precipitation;2
small islands;2
stratosphere;2
supply chain;2
urban areas;2
warmer temperatures;2
warming trend;2
water supply;2
watershed;2
adaptation policy;1
air temperature;1
annual temperature;1
atmospheric temperature;1
bacteria;1
bee;1
bird species;1
carbon sequestration;1
cloud cover;1
coastal areas;1
decision makers;1
disaster risk;1
drinking water;1
energy balance;1
energy budget;1
energy production;1
energy technologies;1
environmental data;1
environmental degradation;1
environmental performance;1
epidemics;1
evolutionary responses;1
fisheries;1
flood risk;1
food production;1
food supply;1
food system;1
forest management;1
ice age;1
ice extent;1
insecurity;1
invasive species;1
local government;1
management systems;1
mangrove forests;1
marine ecosystems;1
monsoon;1
native species;1
ocean acidification;1
ocean warming;1
phytoplankton;1
plankton;1
plant growth;1
plant species;1
policy development;1
pollen;1
population declines;1
production systems;1
protected areas;1
radiation;1
risk management;1
risk reduction;1
rural areas;1
seasonal cycle;1
seawater temperature;1
shale gas;1
shoreline;1
species responses;1
storm surge;1
surface temperature;1
surface water;1
tree growth;1
tundra;1
water availability;1
water conservation;1
water cycle;1
water footprint;1
water level;1
water management;1
water resources;1
water security;1
water sources;1
water stress;1
