keyword;term_freq
extinction;52
pollution;49
fossil fuels;46
carbon emissions;34
tax;32
climate policy;30
renewable energy;27
antarctic;24
sea level;21
ocean;20
greenhouse gas;19
extreme weather;18
fire;18
emissions trading;15
gas emissions;15
methane;14
energy policy;12
coral reefs;10
wildlife;10
carbon budget;9
change policy;9
farming;9
carbon footprint;7
carbon price;7
deforestation;7
forest;7
methane emissions;7
wind power;7
change risks;6
climate risks;6
geoengineering;6
insect;6
polar bears;6
ice sheet;5
trust;5
biodiversity;4
ecosystem;4
food security;4
ice age;4
natural gas;4
permafrost;4
potato;4
rainfall;4
sustainability;4
water supply;4
acidification;3
bee;3
erosion;3
extreme heat;3
nuclear power;3
ocean acidification;3
power plants;3
sustainable development;3
temperature rise;3
biofuels;2
bird species;2
carbon storage;2
carbon taxes;2
climate models;2
climate sensitivity;2
crop;2
economic growth;2
energy sector;2
energy security;2
environmental policy;2
health risks;2
heat stress;2
ice extent;2
livestock;2
ocean temperature;2
ocean warming;2
oxygen;2
plankton;2
solar energy;2
temperature data;2
water scarcity;2
water stress;2
air quality;1
bacteria;1
biochar;1
carbon markets;1
carbon sequestration;1
climate data;1
climate predictions;1
climate projections;1
climate warming;1
coastal areas;1
colonization;1
disaster risk;1
emission reduction;1
energy balance;1
energy system;1
environmental protection;1
flood risk;1
food supply;1
food system;1
gene;1
habitat loss;1
health effects;1
heat waves;1
ice cover;1
larvae;1
microbes;1
monsoon;1
plant species;1
pollen;1
private sector;1
public health;1
public opinion;1
risk management;1
salinity;1
satellite data;1
seed;1
shale gas;1
snow cover;1
soil carbon;1
support system;1
tundra;1
warming effects;1
water quality;1
watershed;1
