date,topic,sum_probability
2017-03-02,1,0.283281177943211
2017-03-02,2,0.06570536047609636
2017-03-02,3,0.007939148384829918
2017-03-02,4,0.004584733293805038
2017-03-02,5,0.0817307903463118
2017-03-02,6,0.06816489887344358
2017-03-02,7,0.3133666029821903
2017-03-02,8,3.354415091024881e-4
2017-03-02,9,0.174556404681907
2017-03-02,10,3.354415091024881e-4
2017-03-03,1,0.03568077126747382
2017-03-03,2,0.2807017239300244
2017-03-03,3,0.03347326574871002
2017-03-03,4,0.06658584853016697
2017-03-03,5,0.26244261704309885
2017-03-03,6,0.011530583026042016
2017-03-03,7,0.18112992378769996
2017-03-03,8,0.002124351397588165
2017-03-03,9,0.003596021743430697
2017-03-03,10,0.12273489352576514
2017-03-04,1,0.5238178633975482
2017-03-04,2,0.001926444833625219
2017-03-04,3,1.7513134851138354e-4
2017-03-04,4,0.35919439579684764
2017-03-04,5,0.001926444833625219
2017-03-04,6,0.11050788091068302
2017-03-04,7,1.7513134851138354e-4
2017-03-04,8,1.7513134851138354e-4
2017-03-04,9,1.7513134851138354e-4
2017-03-04,10,0.001926444833625219
2017-03-05,1,0.009627329192546583
2017-03-05,2,0.32639751552795027
2017-03-05,3,0.27049689440993785
2017-03-05,4,3.1055900621118014e-4
2017-03-05,5,0.24254658385093167
2017-03-05,6,3.1055900621118014e-4
2017-03-05,7,0.14937888198757765
2017-03-05,8,3.1055900621118014e-4
2017-03-05,9,3.1055900621118014e-4
2017-03-05,10,3.1055900621118014e-4
2017-03-06,1,0.15498616045120212
2017-03-06,2,0.020054993952848214
2017-03-06,3,0.007801342144961002
2017-03-06,4,0.1782618133065037
2017-03-06,5,0.15303688039775667
2017-03-06,6,0.18123563924450267
2017-03-06,7,0.1533073444092971
2017-03-06,8,7.609565574899341e-4
2017-03-06,9,0.13860212134416805
2017-03-06,10,0.011952748191270518
2017-03-07,1,0.06590609881701003
2017-03-07,2,0.38867259206371546
2017-03-07,3,0.021288940612895296
2017-03-07,4,0.12468272197277835
2017-03-07,5,0.3170507907079488
2017-03-07,6,3.09919633874315e-4
2017-03-07,7,0.035857705181659864
2017-03-07,8,3.09919633874315e-4
2017-03-07,9,0.013021784040653975
2017-03-07,10,0.03289952733558964
2017-03-08,1,0.012162609984087773
2017-03-08,2,0.05277466995570158
2017-03-08,3,0.12182647553030626
2017-03-08,4,0.11597065951969149
2017-03-08,5,0.22643533447824998
2017-03-08,6,0.0560970065925386
2017-03-08,7,0.22644569966411895
2017-03-08,8,0.03252700734765451
2017-03-08,9,0.0813324353810844
2017-03-08,10,0.07442810154656641
2017-03-09,1,0.028051845743565337
2017-03-09,2,0.22915159627480422
2017-03-09,3,0.021951009184732702
2017-03-09,4,0.012655439104848894
2017-03-09,5,0.2712550354007714
2017-03-09,6,0.09429612956906877
2017-03-09,7,0.04624546377746878
2017-03-09,8,0.11063879199016258
2017-03-09,9,0.10304029494239016
2017-03-09,10,0.08271439401218715
2017-03-10,1,0.124767954382848
2017-03-10,2,0.07458038566514812
2017-03-10,3,0.0959968704069199
2017-03-10,4,0.13454775802614016
2017-03-10,5,0.2243163930928153
2017-03-10,6,0.21104935397093638
2017-03-10,7,0.033493321730422694
2017-03-10,8,0.0033843089428955116
2017-03-10,9,0.02685390481301486
2017-03-10,10,0.071009748968859
2017-03-11,1,0.13408695652173913
2017-03-11,2,0.108
2017-03-11,3,0.028000000000000004
2017-03-11,4,1.7391304347826088e-4
2017-03-11,5,1.7391304347826088e-4
2017-03-11,6,0.03321739130434783
2017-03-11,7,1.7391304347826088e-4
2017-03-11,8,1.7391304347826088e-4
2017-03-11,9,0.6175652173913044
2017-03-11,10,0.07843478260869566
2017-03-12,1,7.246376811594203e-4
2017-03-12,2,0.12391304347826088
2017-03-12,3,0.6891304347826086
2017-03-12,4,7.246376811594203e-4
2017-03-12,5,0.04420289855072464
2017-03-12,6,0.11666666666666668
2017-03-12,7,7.246376811594203e-4
2017-03-12,8,7.246376811594203e-4
2017-03-12,9,0.02246376811594203
2017-03-12,10,7.246376811594203e-4
2017-03-13,1,0.24176863840230176
2017-03-13,2,0.0677058475078277
2017-03-13,3,0.08821866802064822
2017-03-13,4,0.24176863840230176
2017-03-13,5,1.844799864601845e-4
2017-03-13,6,0.17193703985783193
2017-03-13,7,1.844799864601845e-4
2017-03-13,8,0.013004992806973004
2017-03-13,9,0.14683760683760685
2017-03-13,10,0.02838960819158839
2017-03-14,1,0.03154828080952278
2017-03-14,2,0.017465747169530182
2017-03-14,3,0.08501526086465416
