date_published;n
2016-01-04;3
2016-01-05;4
2016-01-06;6
2016-01-07;3
2016-01-08;4
2016-01-09;1
2016-01-11;9
2016-01-12;7
2016-01-13;7
2016-01-14;6
2016-01-15;4
2016-01-16;1
2016-01-17;1
2016-01-18;2
2016-01-19;5
2016-01-20;9
2016-01-21;6
2016-01-22;7
2016-01-24;2
2016-01-25;6
2016-01-26;3
2016-01-27;6
2016-01-28;6
2016-01-29;7
2016-01-30;2
2016-02-01;6
2016-02-02;3
2016-02-03;1
2016-02-04;4
2016-02-05;6
2016-02-06;2
2016-02-08;9
2016-02-09;5
2016-02-10;13
2016-02-11;5
2016-02-12;2
2016-02-14;2
2016-02-15;6
2016-02-16;3
2016-02-17;3
2016-02-19;5
2016-02-20;1
2016-02-21;2
2016-02-22;5
2016-02-23;8
2016-02-24;9
2016-02-25;5
2016-02-27;1
2016-02-28;3
2016-03-01;2
2016-03-02;4
2016-03-03;6
2016-03-04;4
2016-03-06;2
2016-03-07;6
2016-03-08;7
2016-03-09;5
2016-03-10;8
2016-03-11;7
2016-03-12;1
2016-03-14;9
2016-03-15;10
2016-03-16;7
2016-03-17;8
2016-03-18;5
2016-03-19;1
2016-03-20;3
2016-03-21;9
2016-03-22;5
2016-03-23;6
2016-03-24;4
2016-03-25;1
2016-03-26;3
2016-03-27;2
2016-03-28;3
2016-03-29;2
2016-03-30;4
2016-04-01;3
2016-04-02;1
2016-04-03;3
2016-04-04;6
2016-04-05;3
2016-04-06;4
2016-04-07;8
2016-04-08;3
2016-04-09;2
2016-04-10;2
2016-04-11;4
2016-04-12;4
2016-04-13;7
2016-04-14;7
2016-04-15;7
2016-04-16;1
2016-04-17;2
2016-04-18;6
2016-04-19;6
2016-04-20;11
2016-04-21;10
2016-04-22;10
2016-04-23;1
2016-04-24;2
2016-04-25;6
2016-04-26;5
2016-04-27;9
2016-04-28;12
2016-04-29;6
2016-05-01;3
2016-05-02;4
2016-05-03;8
2016-05-04;6
2016-05-05;10
2016-05-06;2
2016-05-07;1
2016-05-08;3
2016-05-09;4
2016-05-10;5
2016-05-11;6
2016-05-12;6
2016-05-13;2
2016-05-15;4
2016-05-16;11
2016-05-17;5
2016-05-18;9
2016-05-19;6
2016-05-20;6
2016-05-21;2
2016-05-23;3
2016-05-24;6
2016-05-25;7
2016-05-26;7
2016-05-27;10
2016-05-29;6
2016-05-30;1
2016-06-01;8
2016-06-02;4
2016-06-03;2
2016-06-05;1
2016-06-06;7
2016-06-07;5
2016-06-08;6
2016-06-09;5
2016-06-10;4
2016-06-11;2
2016-06-12;3
2016-06-13;4
2016-06-14;4
2016-06-15;9
2016-06-16;3
2016-06-17;5
2016-06-18;1
2016-06-19;4
2016-06-20;7
2016-06-21;3
2016-06-22;2
2016-06-23;1
2016-06-24;3
2016-06-25;1
2016-06-26;3
2016-06-27;2
2016-06-28;6
2016-06-29;9
2016-07-01;2
2016-07-03;1
2016-07-04;2
2016-07-05;5
2016-07-06;4
2016-07-07;10
2016-07-08;2
2016-07-09;1
2016-07-10;1
2016-07-11;6
2016-07-12;4
2016-07-13;4
2016-07-14;5
2016-07-15;5
2016-07-17;1
2016-07-18;2
2016-07-19;5
2016-07-20;10
2016-07-21;5
2016-07-22;1
2016-07-24;1
2016-07-25;7
2016-07-26;4
2016-07-27;3
2016-07-28;5
2016-07-29;2
2016-07-30;1
2016-08-01;3
2016-08-02;4
2016-08-03;4
2016-08-04;3
2016-08-05;3
2016-08-06;1
2016-08-07;1
2016-08-08;3
2016-08-09;2
2016-08-10;5
2016-08-12;3
2016-08-14;2
2016-08-15;4
2016-08-16;9
2016-08-17;7
2016-08-18;4
2016-08-19;1
2016-08-20;1
2016-08-21;3
2016-08-22;3
2016-08-23;2
2016-08-24;6
2016-08-25;3
2016-08-26;1
2016-08-27;1
2016-08-29;7
2016-08-30;6
2016-09-01;8
2016-09-02;4
2016-09-03;6
2016-09-04;1
2016-09-05;6
2016-09-06;7
2016-09-07;4
2016-09-08;5
2016-09-09;3
2016-09-10;2
2016-09-11;1
2016-09-12;6
2016-09-13;6
2016-09-14;10
2016-09-15;4
2016-09-16;3
2016-09-17;1
2016-09-18;1
2016-09-19;5
2016-09-20;9
2016-09-21;8
2016-09-22;7
2016-09-23;8
2016-09-24;1
2016-09-25;2
2016-09-26;6
2016-09-27;6
2016-09-28;8
2016-09-29;2
2016-10-01;2
2016-10-02;4
2016-10-03;3
2016-10-04;5
2016-10-05;8
2016-10-06;5
2016-10-07;4
2016-10-08;2
2016-10-09;3
2016-10-10;6
2016-10-11;8
2016-10-12;4
2016-10-13;1
2016-10-14;7
2016-10-15;4
2016-10-16;4
2016-10-17;8
2016-10-18;7
2016-10-19;4
2016-10-20;5
2016-10-21;2
2016-10-23;4
2016-10-24;7
2016-10-25;6
2016-10-26;5
2016-10-27;5
2016-10-28;5
2016-10-29;1
2016-10-30;1
2016-11-01;4
2016-11-02;10
2016-11-03;8
2016-11-04;9
2016-11-05;3
2016-11-06;5
2016-11-07;10
2016-11-08;4
2016-11-09;7
2016-11-10;9
2016-11-11;4
2016-11-12;1
2016-11-13;5
2016-11-14;13
2016-11-15;8
2016-11-16;11
2016-11-17;8
2016-11-18;10
2016-11-19;1
2016-11-20;2
2016-11-21;4
2016-11-22;5
2016-11-23;6
2016-11-24;4
2016-11-25;5
2016-11-26;2
2016-11-27;3
2016-11-28;5
2016-11-29;6
2016-12-01;9
2016-12-02;4
2016-12-03;3
2016-12-04;5
2016-12-05;9
2016-12-06;13
2016-12-07;11
2016-12-08;6
2016-12-09;4
2016-12-10;3
2016-12-11;2
2016-12-12;11
2016-12-13;5
2016-12-14;6
2016-12-15;6
2016-12-16;3
2016-12-17;1
2016-12-18;2
2016-12-19;5
2016-12-20;6
2016-12-21;5
2016-12-22;7
2016-12-23;2
2016-12-24;4
2016-12-25;1
2016-12-26;2
2016-12-27;3
2016-12-28;2
2016-12-29;3
2016-12-30;2
2017-01-01;1
2017-01-02;2
2017-01-04;3
2017-01-05;5
2017-01-06;2
2017-01-08;3
2017-01-09;3
2017-01-10;4
2017-01-11;2
2017-01-12;1
2017-01-13;1
2017-01-14;2
2017-01-15;4
2017-01-16;8
2017-01-17;6
2017-01-18;8
2017-01-19;27
2017-01-20;12
2017-01-21;1
2017-01-22;1
2017-01-23;6
2017-01-24;2
2017-01-25;5
2017-01-26;3
2017-01-27;3
2017-01-29;2
2017-01-30;6
2017-02-01;1
2017-02-02;7
2017-02-03;1
2017-02-04;1
2017-02-05;2
2017-02-06;5
2017-02-07;5
2017-02-08;3
2017-02-09;4
2017-02-10;2
2017-02-11;1
2017-02-12;2
2017-02-13;3
2017-02-14;1
2017-02-15;6
2017-02-16;5
2017-02-17;3
2017-02-19;2
2017-02-20;11
2017-02-21;2
2017-02-22;3
2017-02-23;2
2017-02-24;7
2017-02-26;1
2017-02-27;1
2017-03-01;3
2017-03-02;2
2017-03-03;3
2017-03-04;1
2017-03-05;1
2017-03-06;4
2017-03-07;4
2017-03-08;5
2017-03-09;5
2017-03-10;4
2017-03-11;1
2017-03-12;1
2017-03-13;2
2017-03-14;3
2017-03-15;7
2017-03-16;4
2017-03-17;5
2017-03-18;1
2017-03-19;1
2017-03-20;5
2017-03-21;3
2017-03-22;5
2017-03-23;6
2017-03-24;3
2017-03-26;2
2017-03-27;8
2017-03-28;12
2017-03-29;7
2017-03-30;4
2017-04-01;1
2017-04-02;2
2017-04-03;2
2017-04-04;6
2017-04-05;4
2017-04-06;3
2017-04-07;6
2017-04-09;7
2017-04-10;2
2017-04-11;2
2017-04-12;1
2017-04-13;5
2017-04-14;2
2017-04-15;1
2017-04-16;1
2017-04-17;3
2017-04-18;4
2017-04-19;3
2017-04-20;4
2017-04-21;1
2017-04-22;7
2017-04-23;3
2017-04-24;4
2017-04-25;4
2017-04-26;1
2017-04-27;4
2017-04-28;5
2017-04-29;4
2017-05-01;2
2017-05-02;3
2017-05-03;6
2017-05-04;4
2017-05-05;7
2017-05-06;2
2017-05-07;5
2017-05-08;7
2017-05-09;5
2017-05-10;2
2017-05-11;4
2017-05-12;1
2017-05-13;2
2017-05-14;1
2017-05-15;2
2017-05-16;4
2017-05-17;1
2017-05-18;2
2017-05-19;2
2017-05-20;1
2017-05-21;1
2017-05-22;2
2017-05-23;2
2017-05-25;3
2017-05-26;3
2017-05-27;2
2017-05-28;2
2017-05-29;3
2017-05-30;7
2017-06-01;25
2017-06-02;29
2017-06-03;11
2017-06-04;4
2017-06-05;8
2017-06-06;9
2017-06-07;9
2017-06-08;3
2017-06-09;4
2017-06-11;1
2017-06-12;9
2017-06-13;6
2017-06-14;6
2017-06-15;5
2017-06-16;5
2017-06-17;2
2017-06-18;1
2017-06-19;3
2017-06-20;4
2017-06-21;6
2017-06-22;1
2017-06-23;5
2017-06-24;1
2017-06-26;5
2017-06-27;3
2017-06-28;5
2017-06-29;7
2017-07-03;6
2017-07-04;4
2017-07-05;5
2017-07-06;4
2017-07-07;5
2017-07-08;6
2017-07-10;5
2017-07-11;2
2017-07-12;10
2017-07-13;7
2017-07-14;1
2017-07-15;1
2017-07-16;3
2017-07-17;2
2017-07-18;2
2017-07-19;5
2017-07-20;6
2017-07-21;2
2017-07-22;2
2017-07-24;6
2017-07-25;2
2017-07-26;7
2017-07-27;5
2017-07-28;2
2017-07-29;2
2017-07-30;1
2017-08-01;2
2017-08-02;5
2017-08-03;1
2017-08-04;5
2017-08-07;4
2017-08-08;4
2017-08-09;3
2017-08-10;3
2017-08-11;6
2017-08-12;2
2017-08-13;2
2017-08-14;3
2017-08-15;2
2017-08-16;1
2017-08-17;3
2017-08-18;3
2017-08-20;2
2017-08-21;1
2017-08-22;2
2017-08-23;6
2017-08-24;7
2017-08-25;2
2017-08-27;2
2017-08-28;5
2017-08-29;5
2017-08-30;5
2017-09-01;3
2017-09-04;1
2017-09-05;4
2017-09-06;6
2017-09-07;6
2017-09-08;5
