"term";"term_freq";"doc_freq";"idf"
"greg_hunt";65;56;4,33495374514394
"saudi_arabia";85;65;4,18591816598346
"human_health";90;71;4,09762555883778
"air_quality";154;108;3,67817420875487
"climate_energy";185;148;3,36309316211498
"australia's_climate";53;48;4,4891044249712
"change_policies";57;52;4,40906171729767
"environment_minister";251;221;2,96214273436134
"report_released";59;58;4,29986242533267
"carbon_emissions";894;637;1,90353578030693
"nations_climate";48;47;4,51015783416903
"co2_emissions";231;174;3,20125013666456
"economic_growth";267;194;3,09244727681576
"australia's_emissions";102;74;4,05624034267492
"mark_butler";52;51;4,42847980315477
"turnbull_government";180;124;3,54002387027406
"donald_trump";710;585;1,98869358864724
"emmanuel_macron";56;53;4,39001352232697
"global_climate";303;265;2,78057560989287
"climate_agreement";442;387;2,40188074284931
"world_leaders";178;151;3,34302559906417
"paris_accord";234;156;3,31044942862956
"paris_climate";888;724;1,77551404349338
"world_war";103;86;3,90595813962559
"annual_emissions";53;50;4,44828243045095
"global_warming";2972;1507;1,0424292372526
"global_emissions";169;142;3,40447837827783
"fuel_efficiency";86;50;4,44828243045095
"white_house";417;240;2,8796665125371
"tonnes_co2";78;64;4,20142235251942
"environmental_protection";278;245;2,85904722533437
"protection_agency";209;195;3,08730587731535
"president_obama";68;59;4,28276799197337
"president_trump";117;97;3,78559445737571
"told_guardian";515;396;2,37889122462461
"article_amended";60;58;4,29986242533267
"renewable_energy";1455;768;1,71651570273142
"south_australia";167;105;3,70634508572157
"decade_ago";77;72;4,08363931686304
"action_climate";389;332;2,5551704669626
"change_time";67;67;4,15561281648813
"business_leaders";114;88;3,88296862140089
"science_climate";122;104;3,71591453673772
"transition_clean";46;43;4,59910532018553
"clean_energy";839;465;2,21826803029174
"energy_future";54;50;4,44828243045095
"price_carbon";122;95;3,80642854427855
"emissions_trading";211;136;3,44765055014304
"trading_scheme";197;124;3,54002387027406
"climate_policy";505;326;2,57340805451239
"diesel_cars";100;56;4,33495374514394
"air_pollution";398;229;2,92658343232485
"low_carbon";127;101;3,74518491903783
"energy_policy";319;202;3,05203773847789
"managing_director";66;61;4,24943157170578
"energy_transition";77;67;4,15561281648813
"years_ago";738;581;1,99555467902718
"cutting_carbon";81;77;4,01650001402541
"carbon_dioxide";1160;663;1,86353044569323
"greenhouse_gas";1311;907;1,55016298576396
"coal_mine";61;43;4,59910532018553
"local_communities";73;55;4,35297225064662
"great_barrier";645;227;2,93535541839769
"barrier_reef";644;231;2,9178877253573
"european_union";130;118;3,58962081141343
"gas_emissions";1005;747;1,74424025074628
"effects_climate";268;233;2,90926698231339
"change_happening";110;92;3,83851685883005
"sea-level_rise";152;92;3,83851685883005
"extreme_weather";604;418;2,32482400335434
"weather_events";307;237;2,89224529474396
"public_support";61;53;4,39001352232697
"finkel_review";74;44;4,57611580196083
"past_decade";120;109;3,66895755364995
"real_world";82;65;4,18591816598346
"chief_executive";457;371;2,44410337327166
"rising_temperatures";180;154;3,32335283346546
"warming_world";81;72;4,08363931686304
"catastrophic_climate";75;68;4,14079773070299
"world's_biggest";189;161;3,27890107089463
"good_news";158;147;3,36987284910036
"world_resources";56;53;4,39001352232697
"fight_climate";155;131;3,48510811267794
"coal_industry";181;131;3,48510811267794
"recent_years";265;235;2,90071992173493
"australian_government";132;102;3,73533262259482
"global_carbon";110;102;3,73533262259482
"national_climate";79;69;4,12619893128183
"coal_power";278;161;3,27890107089463
"power_generation";137;105;3,70634508572157
"change_agreement";80;77;4,01650001402541
"electricity_generation";130;109;3,66895755364995
"past_years";449;371;2,44410337327166
"power_sector";72;47;4,51015783416903
"parts_world";98;92;3,83851685883005
"world's_largest";232;210;3,01319790516162
"international_energy";76;73;4,0698459947307
"energy_agency";106;97;3,78559445737571
"carbon_capture";195;130;3,49277098542351
"capture_storage";156;117;3,59813150108134
"researchers_found";73;60;4,26596087365699
"met_office";161;93;3,82770594272584
"food_production";91;75;4,04281732234278
"months_ago";87;81;3,96585628120665
"global_scale";43;43;4,59910532018553
"fossil_fuels";1307;805;1,66946315846053
"current_climate";57;48;4,4891044249712
"million_people";255;197;3,0771017071411
"good_thing";51;46;4,53166403939
"climate_impacts";87;78;4,0035966091895
"time_climate";51;50;4,44828243045095
"extreme_events";59;51;4,42847980315477
"fossil_fuel";1481;718;1,78383586683087
"power_stations";382;237;2,89224529474396
"north_sea";80;57;4,31725416804454
"carbon_pricing";167;93;3,82770594272584
"climate_risks";67;49;4,46848513776847
"caused_climate";61;59;4,28276799197337
"global_economy";123;93;3,82770594272584
"world_economic";61;45;4,55364294610877
"transition_low-carbon";51;47;4,51015783416903
"trump's_decision";91;69;4,12619893128183
"paris_deal";189;121;3,56451489028235
"signed_paris";66;63;4,21717070948756
"reduce_carbon";174;162;3,27270910064671
"press_conference";55;49;4,46848513776847
"civil_war";53;47;4,51015783416903
"rest_world";166;144;3,39049213630309
"emissions_reduction";607;286;2,70431362505924
"paris_agreement";1533;788;1,69080734602121
"global_average";125;114;3,6241069874846
"surface_temperatures";134;91;3,84944592936224
